,title,directors,scraptwriter,type,country,language,date,flength,rate
3232,追龙Ⅱ 追龍2：賊王,王晶关智耀,王晶 吕冠南,剧情动作犯罪,中国香港中国大陆,粤语汉语普通话,2019-06-06(中国大陆),103分钟,5.5
3233,送我上青云,滕丛丛,滕丛丛,剧情,中国,汉语普通话,2019-08-16(中国大陆)2019-06-17(上海电影节),99分钟,7.1
3234,逃出克隆岛 The Island,迈克尔·贝,艾里克斯·库兹曼 罗伯托·奥奇 Caspian Tredwell-Owen,动作爱情科幻悬疑惊悚冒险,美国,英语,2005-07-22(美国),136分钟,7.2
3235,逃出生天,彭发彭顺,司徒锦源 邓力奇 吴孟璋,剧情灾难,中国香港中国大陆,汉语普通话粤语,2013-09-30(中国大陆),107分钟,6.7
3236,逃出绝命镇 Get Out,乔丹·皮尔,乔丹·皮尔,悬疑惊悚恐怖,美国,英语,2017-01-23(圣丹斯电影节)2017-02-24(美国),104分钟,7.7
3237,逃学外传 逃學外傳,朱延平,庄澄,剧情喜剧,中国香港中国台湾,粤语汉语普通话,1992-10-01(中国香港),89分钟,6.8
3238,逃学威龙2 逃學威龍2,陈嘉上,阮继志 陈嘉上 陈健忠,喜剧,中国,粤语,1992-04-09(中国香港),97分钟,7.7
3239,逃学威龙3之龙过鸡年 逃學威龍III之龍過雞年,王晶,王晶,喜剧,中国,粤语,1993-01-14,89 分钟,7.5
3240,逃学英雄传 逃學英雄傳,王晶,郭富城 张敏 邱淑贞 吴孟达 张坚庭 李丽蕊,喜剧,中国,粤语,1992-02-20(中国香港),86 分钟,6.4
3241,"逃狱三王 O Brother, Where Art Thou?",乔尔·科恩伊桑·科恩,伊桑·科恩 乔尔·科恩 Homer,喜剧犯罪冒险,英国法国美国,英语,2000-12-22(美国),107分钟,7.9
3242,逃离德黑兰 Argo,本·阿弗莱克,克里斯·特里奥 约书亚·比尔曼 托尼·门德兹,剧情惊悚历史,美国,英语波斯语阿拉伯语,2012-08-31(特柳赖德电影节)2012-10-12(美国),120分钟,8.3
3243,逃离比勒陀利亚 Escape from Pretoria,弗朗西斯·安南,弗朗西斯·安南 L·H·亚当斯 卡罗尔·格里菲思 蒂姆·詹金,剧情犯罪,英国澳大利亚,英语,2020-03-06(英国),106分钟,7.6
